,OverallQual,GrLivArea,GarageArea,TotalBsmtSF,MasVnrType,BsmtQual,GarageFinish,SaleCondition
523,10,4676,884,3138,Stone,Ex,Fin,Partial
524,7,2398,834,1379,BrkFace,Gd,Fin,Normal
525,7,1266,453,1257,None,Gd,Unf,Normal
526,5,928,252,928,None,Gd,Unf,Normal
527,9,2713,858,1452,Stone,Ex,Fin,Partial
528,4,605,0,528,None,TA,Unf,Normal
529,6,2515,484,2035,None,TA,RFn,Alloca
530,6,1509,600,1461,BrkFace,Gd,RFn,Abnorml
531,6,1362,502,611,None,Fa,Fin,Normal
532,5,827,392,0,None,TA,Unf,Normal
533,1,334,0,0,None,TA,Unf,Normal
534,8,1414,403,707,None,Ex,Fin,Normal
535,5,1347,0,1117,None,Gd,Unf,Normal
536,7,1724,527,880,None,Gd,Fin,Normal
537,4,864,576,864,None,TA,Unf,Normal
538,5,1159,336,1051,BrkFace,TA,Unf,Normal
539,8,1601,670,1581,BrkFace,Gd,RFn,Normal
540,9,1838,765,1838,BrkFace,Ex,Fin,Normal
541,8,2285,648,969,BrkFace,Gd,Fin,Normal
542,7,1680,583,1650,None,Ex,Fin,Normal
543,7,767,367,723,BrkFace,Gd,Fin,Normal
544,7,1496,426,654,None,Gd,RFn,Partial
545,7,2183,786,1204,BrkFace,Gd,Unf,Normal
546,6,1635,440,1065,None,Gd,Unf,Normal
547,5,768,624,768,None,Gd,Unf,Normal
548,5,825,720,825,None,TA,RFn,Normal
549,7,2094,615,912,None,Gd,Fin,Normal
550,6,1069,440,1069,None,Gd,RFn,Abnorml
551,5,928,288,928,None,TA,Fin,Normal
552,8,1717,908,1709,Stone,Ex,RFn,Normal
553,4,1126,520,0,None,TA,Fin,Normal
554,7,2046,871,998,BrkFace,Gd,RFn,Normal
555,5,1048,280,993,None,TA,Unf,Normal
556,5,1092,299,1092,None,TA,Fin,Normal
557,4,1336,570,637,None,TA,Unf,Normal
558,7,1446,406,729,None,Gd,Unf,Normal
559,7,1557,420,1374,BrkFace,Gd,Fin,Normal
560,5,1392,528,1392,BrkFace,Gd,Unf,Normal
561,5,1389,418,1389,None,Gd,RFn,Normal
562,5,996,0,996,None,TA,Unf,Normal
563,6,1674,396,1163,None,Gd,Fin,Normal
564,7,2295,590,1095,None,Gd,RFn,Normal
565,6,1647,216,806,None,Gd,Unf,Normal
566,9,2504,656,1122,BrkFace,Gd,Fin,Normal
567,7,1535,532,1517,BrkFace,Gd,RFn,Normal
568,8,2132,612,1496,None,Gd,Fin,Normal
569,5,943,600,943,None,Gd,Unf,Normal
570,5,1728,576,1728,BrkFace,TA,Unf,Normal
571,6,864,288,864,BrkFace,TA,Unf,Abnorml
572,7,1692,650,846,None,Ex,RFn,Partial
573,7,1430,400,384,None,Gd,RFn,Normal
574,5,1109,288,372,BrkFace,TA,Unf,Normal
575,5,1216,336,832,None,TA,Unf,Abnorml
576,7,1477,216,861,None,TA,Unf,Normal
577,5,1320,564,1164,BrkFace,TA,RFn,Abnorml
578,7,1392,540,689,None,Gd,Unf,Abnorml
579,5,1795,352,1050,BrkFace,TA,Unf,Normal
580,6,1429,572,1144,BrkFace,TA,Unf,Normal
581,8,2042,1390,2042,BrkFace,Ex,RFn,Partial
582,6,816,0,816,BrkFace,Gd,Unf,Normal
583,10,2775,880,1237,None,TA,Unf,Normal
584,4,1573,240,884,None,TA,Unf,Normal
585,8,2028,880,1868,BrkFace,Ex,RFn,Partial
586,6,838,275,816,None,TA,Fin,Normal
587,5,860,528,840,None,TA,Unf,Normal
588,5,1473,452,1437,None,TA,Unf,Partial
589,5,935,308,742,None,TA,Unf,Normal
590,7,1582,520,770,None,Gd,RFn,Normal
591,10,2296,842,1722,Stone,Ex,RFn,Normal
592,5,816,816,816,None,TA,Fin,Normal
593,6,848,420,848,BrkFace,Gd,Fin,Normal
594,5,924,280,924,None,Gd,Unf,Normal
595,8,1826,758,1814,BrkFace,Gd,Fin,Partial
596,6,1368,216,684,None,TA,Unf,Normal
597,7,1402,648,1258,BrkFace,Ex,Fin,Partial
598,5,1647,621,1430,BrkFace,Gd,Fin,Normal
599,6,1556,452,716,None,Gd,Fin,Normal
600,8,1904,736,1058,BrkFace,Gd,Fin,Normal
601,6,1375,544,780,None,TA,Unf,Normal
602,8,1915,506,908,None,Gd,Fin,Abnorml
603,7,1200,480,600,None,Gd,RFn,Normal
604,7,1494,530,1494,BrkFace,Gd,RFn,Normal
605,7,1986,486,768,BrkFace,TA,Unf,Normal
606,5,1040,576,1040,None,Gd,Unf,Normal
607,5,2008,230,896,None,TA,Unf,Normal
608,8,3194,380,965,None,Gd,Unf,Alloca
609,4,1029,261,1029,BrkCmn,TA,Unf,Normal
610,9,2153,736,1440,BrkFace,Ex,Fin,Normal
611,6,1032,564,1032,BrkFace,Gd,Unf,Normal
612,8,1872,531,1299,BrkFace,Gd,RFn,Normal
613,5,1120,0,1120,None,Gd,Unf,Partial
614,4,630,0,630,None,Gd,Unf,Normal
615,6,1054,480,936,BrkFace,TA,RFn,Abnorml
616,6,1509,393,783,None,Gd,Fin,Normal
617,6,832,528,832,None,TA,Unf,Normal
618,9,1828,774,1822,BrkFace,Ex,Unf,Partial
619,8,2262,749,1482,Stone,Gd,Fin,Normal
620,3,864,0,864,None,TA,Unf,Normal
621,6,2614,624,1522,None,TA,RFn,Normal
622,5,980,484,980,BrkFace,TA,Unf,Normal
623,6,1512,440,756,BrkFace,Gd,Unf,Normal
624,6,1790,484,732,None,TA,RFn,Normal
625,6,1116,440,1116,BrkFace,TA,Unf,Normal
626,5,1422,286,978,None,TA,RFn,Normal
627,6,1520,364,1156,BrkFace,TA,RFn,Normal
628,5,2080,504,1040,BrkFace,Gd,Unf,Family
629,6,1350,520,1248,BrkFace,TA,RFn,Normal
630,5,1750,240,636,None,Fa,Unf,Abnorml
631,8,1554,627,1554,Stone,Gd,RFn,Normal
632,7,1411,544,1386,BrkFace,TA,Fin,Family
633,5,1056,260,1056,None,TA,Unf,Normal
634,6,1056,576,1056,None,TA,Unf,Normal
635,6,3395,0,1440,None,TA,Unf,Abnorml
636,2,800,0,264,None,TA,Unf,Normal
637,5,1387,256,811,None,TA,Unf,Normal
638,5,796,0,796,None,Fa,Unf,Normal
639,8,1567,648,1520,None,Gd,Fin,Partial
640,8,1518,588,1518,BrkFace,Ex,RFn,Normal
641,7,1929,650,1057,None,Gd,Fin,Normal
642,8,2704,538,1952,None,Gd,Fin,Normal
643,5,1620,462,780,BrkFace,TA,Fin,Normal
644,9,1766,478,1766,Stone,Ex,Fin,Partial
645,6,981,576,981,None,TA,Unf,Normal
646,5,1048,420,0,None,TA,Unf,Normal
647,6,1094,495,1094,Stone,TA,RFn,Normal
648,6,1839,442,756,BrkFace,TA,Unf,Normal
649,4,630,0,630,None,Gd,Unf,Normal
650,7,1665,562,813,None,Gd,RFn,Normal
651,4,1510,296,755,None,TA,Unf,Normal
652,7,1716,512,880,None,Gd,RFn,Normal
653,6,1469,216,756,None,TA,Unf,Normal
654,8,2113,839,2109,BrkFace,Gd,Fin,Normal
655,6,1092,264,525,BrkFace,TA,Unf,Family
656,5,1053,312,1053,BrkFace,TA,RFn,Normal
657,7,1502,270,776,None,Gd,RFn,Normal
658,6,1458,330,912,None,TA,Unf,Abnorml
659,5,1486,480,1486,None,TA,Fin,Normal
660,7,1935,550,793,BrkFace,Gd,RFn,Normal
661,8,2448,711,1629,BrkFace,Gd,RFn,Normal
662,6,1392,576,1392,BrkFace,Fa,RFn,Normal
663,4,1181,588,1138,None,Gd,RFn,Normal
664,8,2097,1134,2077,None,Ex,Fin,Partial
665,8,1936,504,1406,BrkFace,Gd,RFn,Normal
666,6,2380,596,1021,BrkCmn,Gd,Unf,Abnorml
667,6,1679,575,1408,BrkFace,Gd,RFn,Normal
668,5,1437,576,1188,None,TA,Unf,Normal
669,4,1180,252,700,None,Fa,Unf,Normal
670,6,1476,540,738,None,Gd,Fin,Normal
671,6,1369,300,672,None,TA,Unf,Normal
672,6,1208,546,1208,None,Gd,RFn,Normal
673,6,1839,416,1477,BrkFace,TA,Fin,Normal
674,6,1136,384,1136,None,TA,RFn,Normal
675,6,1441,440,855,None,TA,Unf,Normal
676,4,1774,779,1095,None,TA,Unf,Normal
677,5,792,240,768,None,TA,Unf,Normal
678,8,2046,834,2046,Stone,Ex,Fin,Partial
679,5,988,572,988,BrkFace,TA,Unf,Normal
680,6,923,264,923,None,Gd,RFn,Normal
681,5,1520,281,793,None,TA,Unf,Abnorml
682,6,1291,431,1291,None,Gd,Unf,Normal
683,9,1668,702,1626,Stone,Gd,Fin,Normal
684,7,1839,486,1195,BrkFace,Gd,Fin,Normal
685,7,2090,577,1190,None,Gd,Fin,Normal
686,7,1761,578,874,None,Gd,Fin,Partial
687,7,1102,480,551,None,Gd,Unf,Normal
688,8,1419,567,1419,BrkFace,Gd,RFn,Partial
689,6,1362,460,1362,Stone,Gd,RFn,Normal
690,6,848,420,848,BrkFace,Gd,RFn,Normal
691,10,4316,832,2444,BrkFace,Ex,Fin,Normal
692,7,2519,628,1210,BrkFace,Gd,RFn,Normal
693,5,1073,326,1073,None,TA,Unf,Abnorml
694,5,1539,576,927,None,TA,Unf,Normal
695,6,1137,551,1112,BrkFace,Gd,Unf,Normal
696,5,616,205,616,None,TA,Unf,Normal
697,5,1148,308,980,None,Ex,Unf,Normal
698,5,894,336,894,None,TA,Unf,Normal
699,7,1391,530,1391,None,Gd,RFn,Normal
700,8,1800,765,1800,BrkFace,Ex,Fin,Normal
701,7,1164,528,1164,BrkFace,TA,Unf,Normal
702,8,2576,666,1234,BrkFace,Ex,Fin,Partial
703,5,1812,672,360,None,Gd,Unf,Normal
704,7,1484,606,1473,BrkFace,Gd,RFn,Normal
705,4,1092,0,0,None,TA,Unf,Normal
706,7,1824,739,1643,Stone,Gd,Unf,Normal
707,8,1324,550,1324,BrkFace,Gd,Fin,Normal
708,7,1456,400,728,None,Gd,Fin,Partial
709,5,904,408,876,BrkCmn,TA,Unf,Abnorml
710,3,729,0,270,None,TA,Unf,Normal
711,4,1178,384,859,None,TA,RFn,Abnorml
712,8,1228,472,1228,None,Gd,Fin,Normal
713,4,960,576,960,BrkFace,TA,Unf,Normal
714,6,1479,475,725,BrkFace,TA,RFn,Normal
715,6,1350,478,1064,BrkFace,Gd,RFn,Normal
716,7,2554,704,718,None,TA,Unf,Normal
717,5,1178,439,1176,None,Gd,Unf,Normal
718,7,2418,983,1311,BrkFace,Gd,RFn,Normal
719,5,971,300,971,None,Gd,Unf,Normal
720,8,1742,564,1742,None,Gd,RFn,Normal
721,6,848,420,848,BrkFace,Gd,RFn,Normal
722,4,864,463,864,None,TA,Unf,Normal
723,4,1470,548,941,None,TA,Unf,Normal
724,9,1698,768,1698,Stone,Ex,Fin,Normal
725,4,864,660,864,None,TA,Unf,Normal
726,6,1680,540,880,BrkFace,Gd,Fin,Normal
727,7,1232,632,1232,Stone,Gd,RFn,Normal
728,5,1776,888,1584,BrkFace,TA,Unf,Abnorml
729,4,1208,539,780,None,TA,Unf,Normal
730,8,1616,608,1595,None,Gd,RFn,Normal
731,7,1146,438,868,BrkFace,Ex,Fin,Normal
732,7,2031,541,1153,BrkFace,Gd,Fin,Normal
733,5,1144,264,864,None,TA,RFn,Normal
734,5,948,300,948,None,TA,Unf,Family
735,7,1768,320,880,None,Gd,Unf,Normal
736,3,1040,400,0,None,TA,Unf,Normal
737,8,1801,800,893,None,Gd,Fin,Normal
738,5,1200,0,1200,None,Gd,Unf,Alloca
739,7,1728,572,864,None,Gd,RFn,Normal
740,5,1432,360,264,None,Fa,Unf,Abnorml
741,6,912,288,912,None,TA,Unf,Normal
742,7,1349,539,1349,BrkFace,Gd,Unf,Normal
743,5,1464,480,520,None,Gd,RFn,Normal
744,8,1337,462,1337,None,Gd,RFn,Normal
745,8,2715,831,1142,BrkFace,TA,Fin,Normal
746,7,2256,554,952,None,Gd,Fin,Normal
747,7,2640,864,1240,None,TA,Unf,Normal
748,7,1720,527,1720,BrkFace,Gd,Fin,Normal
749,4,1529,240,0,None,TA,Unf,Normal
750,4,1140,0,576,None,TA,Unf,Normal
751,7,1320,400,660,None,Gd,Fin,Normal
752,6,1494,576,1479,None,Gd,RFn,Normal
753,8,2098,878,1030,BrkFace,Gd,RFn,Normal
754,6,1026,440,1026,None,TA,RFn,Normal
755,6,1471,440,729,BrkFace,Gd,Unf,Normal
756,8,1768,578,866,None,Gd,RFn,Normal
757,6,1386,440,672,BrkCmn,TA,Fin,Abnorml
758,7,1501,440,744,BrkFace,Gd,Unf,Normal
759,8,2531,752,1318,BrkFace,Gd,RFn,Normal
760,6,864,300,864,None,TA,Unf,Normal
761,5,1301,440,1145,None,TA,Unf,Normal
762,7,1547,614,756,None,Gd,Unf,Normal
763,8,2365,856,1252,BrkFace,Gd,RFn,Normal
764,8,1494,481,1494,None,Gd,Fin,Normal
765,9,1506,592,1498,Stone,Gd,Fin,Partial
766,7,1714,496,980,BrkFace,Gd,Unf,Normal
767,6,1750,423,983,None,Gd,Unf,Normal
768,7,1836,484,1860,None,Gd,Fin,Normal
769,8,3279,841,1650,BrkFace,Gd,Fin,Normal
770,5,858,576,858,None,Gd,Unf,Normal
771,4,1220,396,836,None,Fa,Unf,Normal
772,6,1117,672,1029,None,TA,Unf,Abnorml
773,5,912,275,912,None,TA,RFn,Normal
774,8,1973,895,1935,BrkFace,Gd,Fin,Partial
775,6,1204,412,1204,BrkFace,Ex,Fin,Normal
776,7,1614,865,1614,BrkFace,Gd,RFn,Partial
777,5,894,440,864,None,TA,Unf,Normal
778,5,2020,630,0,BrkFace,TA,Unf,Normal
779,6,1004,504,975,BrkFace,Gd,Unf,Normal
780,7,1253,402,1237,BrkFace,Gd,Fin,Normal
781,6,1603,484,761,None,Gd,RFn,Normal
782,7,1430,605,1413,None,Gd,RFn,Normal
783,5,1110,602,1097,BrkFace,Gd,Fin,Normal
784,6,1484,0,742,None,TA,Unf,Normal
785,6,1342,457,1372,None,TA,Unf,Normal
786,5,1652,416,686,None,Fa,Unf,Normal
787,7,2084,618,956,None,Gd,RFn,Normal
788,4,901,281,901,None,TA,Unf,Normal
789,6,2087,444,832,BrkFace,TA,Fin,Normal
790,7,1145,397,1145,BrkFace,Gd,Fin,Normal
791,6,1062,539,1029,None,Gd,RFn,Normal
792,7,2013,455,1117,None,Gd,Unf,Normal
793,8,1496,474,1496,Stone,Gd,Fin,Partial
794,7,1895,409,712,None,Gd,Fin,Normal
795,6,1564,476,650,BrkFace,Gd,Unf,Normal
796,6,1285,528,660,BrkFace,TA,RFn,Normal
797,5,773,240,773,None,TA,Unf,Abnorml
798,9,3140,820,1926,Stone,Ex,Fin,Partial
799,5,1768,240,731,BrkFace,Gd,Unf,Normal
800,6,1688,603,616,None,Gd,RFn,Normal
801,4,1196,440,1196,None,TA,Unf,Normal
802,7,1456,410,728,None,Gd,Fin,Normal
803,9,2822,1020,1734,Stone,Ex,RFn,Partial
804,5,1128,286,936,None,TA,Unf,Family
805,7,1428,554,1417,Stone,Gd,RFn,Partial
806,5,980,384,980,None,TA,Fin,Normal
807,5,1576,528,1324,None,TA,RFn,Normal
808,5,1086,484,1024,BrkFace,TA,RFn,Normal
809,5,2138,360,849,None,TA,Unf,Normal
810,6,1309,484,1040,BrkFace,TA,RFn,Normal
811,6,848,420,848,BrkFace,Gd,Fin,Normal
812,5,1044,504,540,None,TA,Unf,Alloca
813,6,1442,301,1442,BrkFace,TA,RFn,Normal
814,5,1250,280,686,None,TA,Unf,Normal
815,7,1661,598,1649,BrkFace,Gd,RFn,Normal
816,5,1008,275,1008,None,TA,RFn,Normal
817,8,1689,857,1568,BrkFace,Gd,RFn,Normal
818,6,1052,440,1010,BrkFace,TA,Unf,Normal
819,7,1358,484,1358,Stone,Gd,RFn,Partial
820,7,1640,595,798,None,Gd,RFn,Normal
821,4,936,576,936,None,Fa,Unf,Normal
822,7,1733,433,847,None,Gd,Fin,Family
823,6,1489,240,778,None,TA,Unf,Normal
824,8,1489,776,1489,None,Gd,RFn,Partial
825,10,2084,1220,2078,BrkFace,Ex,Fin,Partial
826,5,784,0,784,None,TA,Unf,Normal
827,7,1434,527,1454,None,Gd,RFn,Normal
828,5,2126,538,1013,None,TA,Fin,Abnorml
829,7,1223,480,600,None,Gd,RFn,Normal
830,6,1392,458,1392,BrkFace,TA,RFn,Normal
831,7,1200,480,600,None,Gd,RFn,Normal
832,7,1829,613,941,BrkFace,Gd,RFn,Normal
833,6,1516,472,1516,BrkFace,TA,RFn,Normal
834,5,1144,456,1144,BrkFace,TA,Unf,Normal
835,4,1067,436,1067,None,Gd,Unf,Normal
836,5,1559,812,1559,None,TA,Unf,Normal
837,6,987,264,483,BrkFace,TA,Unf,Normal
838,5,1099,352,1099,None,Gd,Unf,Normal
839,5,1200,240,768,None,TA,Unf,Normal
840,6,1482,400,672,None,TA,Unf,Normal
841,5,1539,686,650,None,TA,Unf,Normal
842,6,1165,490,1127,BrkFace,TA,RFn,Normal
843,5,1800,0,1800,None,TA,Unf,Normal
844,5,1416,720,876,None,TA,Unf,Normal
845,5,1701,611,1390,None,Gd,Fin,Normal
846,7,1775,425,740,BrkFace,Gd,Unf,Normal
847,5,864,338,864,None,TA,Unf,Normal
848,6,2358,360,907,None,TA,Unf,Normal
849,6,1855,512,528,BrkFace,TA,RFn,Normal
850,6,848,420,848,BrkFace,Gd,Fin,Normal
851,8,1456,400,1273,BrkFace,Gd,Fin,Normal
852,7,1646,240,918,None,TA,Unf,Normal
853,6,1445,645,1127,BrkFace,TA,RFn,Normal
854,5,1779,454,1763,None,TA,Unf,Abnorml
855,5,1040,260,1040,None,TA,Unf,Normal
856,6,1026,576,940,None,Gd,Unf,Normal
857,6,1481,343,702,None,Gd,Fin,Normal
858,7,1370,479,1090,BrkFace,Gd,RFn,Family
859,6,2654,619,1054,BrkFace,TA,Unf,Normal
860,7,1426,216,912,None,TA,Unf,Normal
861,5,1039,504,1039,None,TA,Unf,Normal
862,6,1097,480,1040,None,Gd,Unf,Normal
863,5,1148,672,1148,None,TA,Unf,Normal
864,7,1372,529,1372,None,Ex,Fin,Partial
865,5,1002,902,1002,BrkFace,TA,Unf,Normal
866,8,1646,870,1638,Stone,Gd,RFn,Partial
867,4,1120,544,1040,None,TA,RFn,Normal
868,5,2320,672,0,None,TA,Unf,Normal
869,7,1949,574,1050,BrkFace,Gd,Fin,Normal
870,5,894,308,894,None,TA,Unf,Normal
871,6,1682,523,804,BrkFace,Gd,RFn,Normal
872,5,910,414,105,None,TA,Unf,Normal
873,5,1268,288,832,None,TA,Unf,Normal
874,5,1131,200,676,None,TA,Unf,Abnorml
875,8,2610,550,1184,None,Gd,Fin,Partial
876,4,1040,648,1064,None,TA,Unf,Normal
877,9,2224,738,1462,Stone,Ex,Fin,Normal
878,5,1155,576,1109,None,TA,Unf,Normal
879,5,864,336,864,BrkFace,TA,Unf,Normal
880,5,1090,450,1090,None,Ex,Fin,Normal
881,7,1717,400,1156,BrkFace,Gd,RFn,Normal
882,6,1593,389,808,None,Gd,RFn,Normal
883,4,2230,440,795,None,TA,Unf,Normal
884,5,892,288,892,BrkFace,TA,RFn,Normal
885,9,1709,506,1698,BrkFace,Ex,Fin,Abnorml
886,5,1712,588,1626,BrkFace,TA,Fin,Family
887,5,1393,300,816,None,TA,Unf,Normal
888,8,2217,621,2217,None,TA,Unf,Normal
889,6,1505,505,1505,BrkFace,TA,RFn,Normal
890,5,924,576,672,None,TA,Unf,Normal
891,6,1683,440,918,BrkFace,TA,RFn,Normal
892,6,1068,264,1059,None,TA,RFn,Normal
893,5,1383,354,1383,None,Gd,Unf,Normal
894,5,1535,400,0,None,TA,Unf,Alloca
895,6,1796,483,780,BrkFace,TA,RFn,Normal
896,4,951,327,951,None,TA,Unf,Abnorml
897,5,2240,528,0,None,TA,Unf,Alloca
898,9,2364,820,2330,Stone,Ex,Fin,Partial
899,5,1236,288,912,None,TA,Unf,Normal
900,4,858,684,858,None,TA,Unf,Normal
901,5,1306,756,992,None,TA,Unf,Normal
902,7,1509,393,783,None,Gd,Fin,Normal
903,7,1670,690,1670,BrkFace,Gd,RFn,Partial
904,5,902,288,876,BrkFace,TA,Unf,Normal
905,5,1063,280,1056,Stone,TA,RFn,Normal
906,8,1636,865,1623,Stone,Gd,RFn,Normal
907,7,2057,180,1017,None,Gd,Fin,Normal
908,5,902,484,864,None,Gd,Unf,Normal
909,6,1484,390,742,None,Gd,Fin,Normal
910,5,2274,480,1105,BrkFace,TA,Unf,Normal
911,5,1268,252,1268,None,Gd,Unf,Normal
912,5,1015,450,768,None,TA,Unf,Abnorml
913,5,2002,871,1001,None,TA,Unf,Normal
914,6,1224,528,612,Stone,Gd,RFn,Partial
915,4,1092,286,546,BrkFace,TA,Unf,Normal
916,2,480,308,480,None,TA,Unf,Abnorml
917,4,1229,284,1134,None,TA,RFn,Normal
918,7,2127,833,1104,None,Ex,RFn,Normal
919,6,1414,601,1184,None,Gd,Unf,Normal
920,6,1721,471,928,BrkFace,Gd,RFn,Normal
921,5,2200,0,1272,None,TA,Unf,Normal
922,6,1316,397,1316,None,Gd,Fin,Partial
923,6,1617,533,1604,None,Gd,RFn,Normal
924,6,1686,612,1686,BrkFace,Gd,Unf,Normal
925,5,1126,540,1126,None,Gd,RFn,Abnorml
926,8,2374,656,1181,BrkFace,Gd,Fin,Normal
927,7,1978,486,832,BrkFace,TA,RFn,Normal
928,8,1788,522,1753,None,Gd,RFn,Normal
929,7,2236,642,964,BrkFace,Gd,Fin,Normal
930,8,1466,610,1466,None,Gd,Fin,Normal
931,5,925,429,925,None,TA,Unf,Normal
932,9,1905,788,1905,Stone,Ex,Fin,Normal
933,7,1500,570,1500,BrkFace,Gd,RFn,Normal
934,7,2069,505,585,None,Gd,RFn,Normal
935,4,747,528,600,BrkFace,Fa,Unf,Normal
936,7,1200,555,1176,None,Gd,RFn,Normal
937,7,1971,689,1113,None,Gd,RFn,Normal
938,7,1962,868,1391,None,Gd,RFn,Partial
939,7,2403,349,1032,None,TA,Unf,Normal
940,6,1728,574,1728,None,TA,Unf,Normal
941,7,2060,390,992,BrkFace,Gd,RFn,Normal
942,4,1440,0,1440,None,Gd,Unf,Abnorml
943,5,1632,576,1632,None,TA,Unf,Normal
944,6,1344,525,819,BrkFace,TA,RFn,Abnorml
945,5,1869,456,1088,None,TA,Unf,Normal
946,5,1144,796,1144,BrkFace,TA,RFn,Normal
947,8,1629,808,1616,BrkFace,Gd,Fin,Normal
948,7,1776,474,936,BrkFace,Gd,RFn,Normal
949,6,1381,676,1161,None,TA,RFn,Normal
950,5,864,720,864,None,TA,RFn,Normal
951,5,965,300,828,None,TA,Unf,Abnorml
952,5,768,396,768,None,Gd,Fin,Normal
953,5,1968,530,784,BrkFace,TA,RFn,Normal
954,6,980,0,945,BrkFace,Gd,Unf,AdjLand
955,6,1958,492,979,BrkFace,Gd,Unf,Normal
956,6,1229,462,561,None,Gd,Fin,Normal
957,5,1057,576,1057,None,TA,Fin,Normal
958,7,1337,531,1337,None,Gd,RFn,Normal
959,7,1416,484,696,None,Gd,Unf,Normal
960,5,858,0,858,None,TA,Unf,Normal
961,6,2872,619,1330,BrkFace,Gd,Fin,Normal
962,6,1548,440,804,None,Gd,Unf,Normal
963,9,1800,702,1800,None,Ex,Fin,Normal
964,7,1894,510,817,BrkFace,Gd,Fin,Normal
965,6,1484,393,783,None,Gd,Fin,Partial
966,5,1308,256,728,None,TA,Unf,Normal
967,5,1098,260,1098,BrkFace,TA,Unf,Normal
968,3,968,0,600,None,TA,Unf,Abnorml
969,6,1095,264,588,BrkFace,TA,RFn,Normal
970,4,1192,0,720,None,TA,Unf,Abnorml
971,7,1626,474,764,Stone,Gd,RFn,Normal
972,6,918,264,918,None,Gd,Unf,Normal
973,7,1428,480,1428,None,Gd,Fin,Partial
974,7,2019,532,728,None,Gd,Unf,Normal
975,7,1382,490,673,None,Gd,Unf,Normal
976,4,869,0,440,None,Gd,Unf,Normal
977,7,1241,569,1241,None,Gd,Fin,Partial
978,4,894,400,894,None,TA,Unf,Abnorml
979,5,1121,480,1121,None,TA,Unf,Normal
980,7,999,588,944,Stone,TA,RFn,Normal
981,8,2612,676,1225,BrkFace,Gd,Fin,Normal
982,7,1266,388,1266,BrkFace,Gd,Fin,Normal
983,8,2290,779,1128,None,Gd,Unf,Normal
984,5,1734,539,0,None,TA,Unf,Normal
985,5,1164,240,1164,None,TA,Unf,Normal
986,6,1635,255,485,None,TA,Unf,Normal
987,9,1940,606,1930,Stone,Ex,Fin,Partial
988,6,2030,551,848,BrkFace,TA,Fin,Normal
989,7,1576,614,770,None,Gd,RFn,Partial
990,8,2392,870,1396,BrkFace,Gd,Fin,Normal
991,8,1742,424,916,None,TA,Unf,Normal
992,6,1851,440,822,BrkFace,TA,RFn,Normal
993,6,1500,564,750,None,Gd,RFn,Partial
994,10,1718,786,1700,Stone,Ex,Fin,Normal
995,4,1230,305,747,None,TA,Unf,Abnorml
996,5,1050,368,1050,None,TA,Unf,Normal
997,6,1442,615,1442,BrkFace,TA,RFn,Normal
998,3,1077,210,1007,None,TA,Unf,Normal
999,7,1208,632,1187,Stone,Gd,RFn,Normal
1000,3,944,528,0,None,TA,Unf,Normal
1001,5,691,216,691,None,Fa,Unf,Abnorml
1002,8,1574,824,1574,BrkFace,Gd,RFn,Normal
1003,5,1680,528,1680,BrkFace,TA,Unf,Normal
1004,7,1504,457,1346,BrkFace,Gd,Fin,Normal
1005,5,985,328,985,BrkFace,Gd,Unf,Normal
1006,6,1657,484,1657,None,Gd,Unf,Normal
1007,4,1092,286,546,None,TA,RFn,Normal
1008,7,1710,550,1710,Stone,Ex,Fin,Normal
1009,5,1522,0,1008,None,TA,Unf,Normal
1010,5,1271,312,720,None,TA,Unf,Normal
1011,5,1664,0,0,None,TA,Unf,Normal
1012,6,1502,180,602,None,TA,Unf,Normal
1013,5,1022,280,1022,None,TA,Unf,Normal
1014,6,1082,240,1082,BrkFace,TA,Unf,Normal
1015,8,1665,528,810,None,Gd,Fin,Normal
1016,7,1504,478,1504,BrkFace,Gd,Fin,Normal
1017,8,1360,565,1220,None,Gd,RFn,Abnorml
1018,7,1472,402,384,BrkFace,Gd,RFn,Normal
1019,7,1506,440,1362,BrkFace,Gd,Fin,Normal
1020,4,1132,451,1132,None,Gd,Fin,Normal
1021,7,1220,632,1199,Stone,Gd,RFn,Partial
1022,5,1248,160,912,None,TA,Unf,Normal
1023,7,1504,437,1346,BrkFace,Gd,Fin,Normal
1024,8,2898,665,1565,None,Gd,Fin,Abnorml
1025,5,882,461,882,None,TA,Unf,Normal
1026,5,1264,461,1268,BrkFace,TA,Unf,Normal
1027,8,1646,800,1638,Stone,Gd,RFn,Partial
1028,5,1376,240,768,None,TA,Unf,Normal
1029,6,1218,264,672,BrkFace,TA,Unf,Normal
1030,5,1928,0,686,None,TA,Unf,Normal
1031,7,3082,672,824,None,TA,Fin,Normal
1032,8,2520,796,1338,None,Gd,RFn,Abnorml
1033,7,1654,900,1654,Stone,Gd,Unf,Normal
1034,5,954,240,920,None,Fa,Unf,Normal
1035,4,845,290,0,None,TA,Unf,Normal
1036,9,1620,912,1620,Stone,Ex,Fin,Normal
1037,8,2263,905,1055,BrkFace,Gd,Fin,Normal
1038,4,1344,0,546,None,TA,Unf,Normal
1039,4,630,286,630,None,Gd,Unf,Normal
1040,5,1803,484,1134,BrkCmn,TA,RFn,Normal
1041,6,1632,484,800,BrkFace,TA,Unf,Normal
1042,6,1306,624,1306,Stone,Gd,RFn,Normal
1043,7,2329,514,1475,BrkFace,Gd,Unf,Normal
1044,8,2524,542,2524,None,Gd,Fin,Normal
1045,3,1733,452,0,None,TA,Unf,Normal
